dataset,Altitude (m),Exposure time (sec),NSB (mpsas),Is,Rs,Gs,Bs
A1,70,0.16,14.17,-1.455653998,-1.243167974,-1.496825278,-2.883573671
A1,70,0.16,14.15,-1.253554623,-1.041240505,-1.29425653,-2.784095673
A1,70,0.16,14.33,-1.586857807,-1.404538771,-1.613596496,-2.846712269
A1,70,0.16,14.29,-1.487973673,-1.304777485,-1.514620456,-2.845205378
A1,70,0.16,14.22,-1.474494457,-1.304796303,-1.496848784,-2.526263905
A1,70,0.16,14.12,-1.62068571,-1.461582527,-1.640290453,-2.493918096
A1,70,0.16,14.57,-1.923422309,-1.768693673,-1.94900768,-2.437392749
A1,70,0.16,14.83,-1.852190462,-1.636851522,-1.904409974,-2.486064576
A1,70,0.16,14.55,-1.45616712,-1.223739698,-1.509325339,-2.699263325
A1,70,0.16,14.24,-1.45616712,-1.223739698,-1.509325339,-2.699263325
A1,70,0.16,13.92,-1.310949543,-1.088686129,-1.357395601,-2.744814474
A1,70,0.16,14.09,-1.731145276,-1.514601477,-1.775804867,-2.922238962
A2,100,0.16,15.13,-1.948946005,-1.716281204,-2.004861244,-2.907791754
A2,100,0.16,14.02,-1.573089545,-1.346318602,-1.622665161,-2.878091511
A2,100,0.16,14.21,-1.428784175,-1.205147643,-1.476169751,-2.821101604
A2,100,0.16,14.14,-1.339724228,-1.115934268,-1.386967072,-2.78518678
A2,100,0.16,14.41,-1.321056921,-1.096764682,-1.368552842,-2.772929139
A2,100,0.16,14.52,-1.362386157,-1.135785492,-1.411476701,-2.743294011
A2,100,0.16,14.69,-1.52632419,-1.300399312,-1.576110053,-2.723561974
A2,100,0.16,14.39,-1.7464398,-1.525764037,-1.795550904,-2.70777498
A2,100,0.16,14.72,-1.781468314,-1.57773259,-1.821682609,-2.727181326
A2,100,0.16,14.66,-1.678565158,-1.481977101,-1.713552247,-2.77168726
A2,100,0.16,14.46,-1.698488999,-1.518197656,-1.727948706,-2.570946139
A2,100,0.16,15.02,-1.8071729,-1.603319471,-1.850284749,-2.571183561
A2,100,0.16,14.74,-1.521639443,-1.29716235,-1.571062518,-2.660663249
A2,100,0.16,14.21,-1.368416584,-1.146348549,-1.414968868,-2.753347362
A2,100,0.16,14.69,-1.373179806,-1.152285802,-1.418777526,-2.830721997
A2,100,0.16,14.65,-1.641817028,-1.424507805,-1.686358591,-2.914196507
B1,70,0.16,14.45,-1.782642422,-1.139087175,-1.820184193,-1.24594302
B1,70,0.16,14.88,-1.801914674,-1.172931722,-1.848578091,-1.252846899
B2,100,0.16,14.52,-1.703191073,-1.43459957,-1.778581971,-2.938376811
B2,100,0.16,14.29,-1.527328782,-1.260737692,-1.600432112,-2.933229343
B2,100,0.16,14.23,-1.3870416,-1.117641891,-1.461565722,-2.891055631
B2,100,0.16,14.45,-1.344204389,-1.074474184,-1.418872251,-2.868165214
B2,100,0.16,14.52,-1.366151317,-1.09474627,-1.44202137,-2.863331626
B2,100,0.16,14.82,-1.44389903,-1.171369381,-1.520849045,-2.861313217
B2,100,0.16,15.38,-1.660351172,-1.387552621,-1.739035467,-2.828160736
B2,100,0.16,15.52,-1.850787478,-1.580082008,-1.929555224,-2.868074943
B2,100,0.16,14.67,-1.797790162,-1.546075391,-1.863801506,-2.870508621
B2,100,0.16,14.55,-1.646266718,-1.401247347,-1.707073274,-2.851634866
B2,100,0.16,14.53,-1.653210814,-1.425421129,-1.706924863,-2.567465815
B2,100,0.16,14.48,-1.76219327,-1.541851558,-1.814134574,-2.530117598
B2,100,0.16,14.75,-1.881561808,-1.651541524,-1.941457175,-2.538950788
B2,100,0.16,14.75,-1.843480434,-1.598428821,-1.910872313,-2.560751979
B2,100,0.16,14.69,-1.637884798,-1.373240455,-1.712495469,-2.670899447
B2,100,0.16,14.65,-1.512752321,-1.243300113,-1.588403993,-2.793916715
B2,100,0.16,14.55,-1.457850164,-1.190496067,-1.531353521,-2.884764722
B2,100,0.16,14.46,-1.485102504,-1.218622491,-1.557936094,-2.935407891
B2,100,0.16,14.44,-1.595227014,-1.332783126,-1.665880277,-2.955884646
B2,100,0.16,14.84,-1.850201548,-1.586205997,-1.923349621,-2.989364804
C1,70,0.25,14.59,-1.647276206,-1.414427472,-1.700690203,-2.888220357
C1,70,0.25,14.46,-1.364663194,-1.141533279,-1.411442525,-2.835183108
C1,70,0.25,14.26,-1.25668998,-1.034937191,-1.30245581,-2.799927568
C1,70,0.25,14.14,-1.157227519,-0.937365969,-1.201809089,-2.749289676
C1,70,0.25,14.14,-1.155790527,-0.935088037,-1.201088856,-2.66624224
C1,70,0.25,14.32,-1.211087897,-0.982684775,-1.261146234,-2.60179516
C1,70,0.25,14.58,-1.302092079,-1.18071245,-1.305148028,-2.225759297
